

Received 24 bits binary: 00101000 00001110 01110100, hexadecimal: 28 E 74, time: 61013180, source: A, quality 52.00 % *****

Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327647104, source: A, quality 79.66 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327686596, source: A, quality 72.86 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327726080, source: A, quality 66.18 % ******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327765568, source: B, quality 79.22 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327812752, source: B, quality 82.45 % ********
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 327859948, source: B, quality 86.27 % ********
Received 24 bits binary: 00111000 11001011 10111100, hexadecimal: 38 CB BC, time: 328506932, source: A, quality 65.90 % ******
Received 24 bits binary: 00111000 11001011 10111100, hexadecimal: 38 CB BC, time: 328546432, source: B, quality 81.77 % ********
Received 24 bits binary: 00111000 11001011 10111100, hexadecimal: 38 CB BC, time: 328593616, source: B, quality 80.59 % ********
Received 24 bits binary: 00111000 11001011 10111100, hexadecimal: 38 CB BC, time: 328640800, source: B, quality 83.61 % ********
Received 24 bits binary: 00111101 10010111 01111100, hexadecimal: 3D 97 7C, time: 328735292, source: A, quality 55.04 % *****
Received 24 bits binary: 00111101 10010111 01111100, hexadecimal: 3D 97 7C, time: 328774800, source: A, quality 54.91 % *****

Received 24 bits binary: 00111101 10010111 01111101, hexadecimal: 3D 97 7D, time: 328687984, source: B, quality 88.00 % ********
Received 24 bits binary: 00111100 00011100 00100111, hexadecimal: 3C 1C 27, time: 329082220, source: A, quality 55.41 % *****

Received 24 bits binary: 00111101 10010111 01111100, hexadecimal: 3D 97 7C, time: 329034920, source: B, quality 86.06 % ********
Received 24 bits binary: 00111100 00011100 00101100, hexadecimal: 3C 1C 2C, time: 329334580, source: B, quality 81.35 % ********
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330109596, source: A, quality 75.89 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330149080, source: A, quality 67.93 % ******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330188592, source: A, quality 69.80 % ******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330228076, source: B, quality 78.23 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330275268, source: B, quality 78.16 % *******
Received 24 bits binary: 00111001 11010011 10001100, hexadecimal: 39 D3 8C, time: 330322460, source: B, quality 80.12 % ********
Received 24 bits binary: 00111000 11001011 10111100, hexadecimal: 38 CB BC, time: 330416976, source: A, quality 59.20 % *****
Received 24 bits binary: 00111000 11001011 10111011, hexadecimal: 38 CB BB, time: 330622192, source: B, quality 86.44 % ********
Received 24 bits binary: 00111101 10010111 01111100, hexadecimal: 3D 97 7C, time: 330882440, source: A, quality 50.05 % *****
Received 24 bits binary: 00111101 10010111 01111110, hexadecimal: 3D 97 7E, time: 330921956, source: B, quality 84.81 % ********
