
[Starting] Opening the serial port - COM6
[Info] Opened the serial port - COM6
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3460864, source: A, quality 65.28 % ******
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3500368, source: A, quality 53.81 % *****
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3539860, source: A, quality 50.82 % *****
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3579352, source: B, quality 81.94 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3626532, source: B, quality 87.01 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 3673720, source: B, quality 84.58 % ********
Received 24 bits binary: 00110001 00010110 00001100, hexadecimal: 31 16 C, time: 3973396, source: B, quality 89.22 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 4233604, source: A, quality 48.45 % ****
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 4273116, source: B, quality 85.52 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 4320296, source: B, quality 86.70 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 4367484, source: B, quality 87.19 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 4462020, source: A, quality 47.03 % ****
Received 24 bits binary: 00110101 00101010 10101101, hexadecimal: 35 2A AD, time: 4620016, source: B, quality 88.48 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5219272, source: A, quality 71.65 % *******
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5258768, source: A, quality 61.10 % ******
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5298272, source: A, quality 58.85 % *****
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5337792, source: B, quality 88.48 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5384972, source: B, quality 85.68 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 5432160, source: B, quality 83.95 % ********
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 5526712, source: A, quality 47.71 % ****
Received 24 bits binary: 00110001 01101011 00000110, hexadecimal: 31 6B 6, time: 5731872, source: B, quality 86.70 % ********
Received 24 bits binary: 00111011 10000001 10100101, hexadecimal: 3B 81 A5, time: 6031624, source: B, quality 84.71 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 6126016, source: B, quality 80.73 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 6514988, source: A, quality 63.71 % ******
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 6554488, source: A, quality 55.42 % *****
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 6594012, source: B, quality 85.97 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 6641200, source: B, quality 87.57 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 6688404, source: B, quality 86.70 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 6822464, source: A, quality 43.88 % ****
Received 24 bits binary: 00110111 01001111 01100010, hexadecimal: 37 4F 62, time: 6901468, source: A, quality 37.08 % ***
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 7169440, source: A, quality 43.61 % ****
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 7208932, source: A, quality 47.50 % ****
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 7287940, source: B, quality 79.94 % *******
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 7335144, source: B, quality 84.37 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 7682140, source: B, quality 87.88 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8446908, source: A, quality 72.51 % *******
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8486412, source: A, quality 57.82 % *****
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8525924, source: A, quality 51.35 % *****
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8565448, source: B, quality 83.48 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8612624, source: B, quality 79.83 % *******
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 8659852, source: B, quality 81.04 % ********
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 8754388, source: A, quality 41.32 % ****
Received 24 bits binary: 00110111 01111010 01111010, hexadecimal: 37 7A 7A, time: 8959632, source: B, quality 82.03 % ********
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 9219908, source: A, quality 45.58 % ****
Received 24 bits binary: 00110001 01101000 00110001, hexadecimal: 31 68 31, time: 9259416, source: B, quality 84.73 % ********
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 9353816, source: B, quality 85.00 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 9882592, source: A, quality 54.00 % *****
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 9922092, source: B, quality 84.77 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 9969296, source: B, quality 83.08 % ********
Received 24 bits binary: 00111011 10000110 10010101, hexadecimal: 3B 86 95, time: 10016508, source: B, quality 83.48 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 10150576, source: A, quality 39.75 % ***
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 10190076, source: A, quality 40.71 % ****
Received 24 bits binary: 00110101 00110010 10101101, hexadecimal: 35 32 AD, time: 10269104, source: B, quality 81.54 % ********
Received 24 bits binary: 00110101 00101010 11010101, hexadecimal: 35 2A D5, time: 10410720, source: B, quality 77.13 % *******
Received 24 bits binary: 00110111 01001111 01000101, hexadecimal: 37 4F 45, time: 10663336, source: B, quality 75.77 % *******
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 10884144, source: A, quality 45.78 % ****
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 10923644, source: A, quality 42.92 % ****
Received 24 bits binary: 00110001 01100000 11000101, hexadecimal: 31 60 C5, time: 11057556, source: B, quality 86.51 % ********
