[Starting] Opening the serial port - COM6
[Info] Opened the serial port - COM6
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 1891736, source: A, quality 58.55 % *****
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 1970796, source: A, quality 46.98 % ****
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 2010324, source: B, quality 81.78 % ********
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 2057544, source: B, quality 83.08 % ********
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 2104764, source: B, quality 80.68 % ********
Received 24 bits binary: 00110110 10110101 00100011, hexadecimal: 36 B5 23, time: 2404644, source: B, quality 78.41 % *******
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 2625460, source: A, quality 37.66 % ***
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 2664968, source: A, quality 38.71 % ***
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 2704488, source: B, quality 81.82 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 2751708, source: B, quality 82.91 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 2798936, source: B, quality 80.73 % ********
Received 24 bits binary: 00111110 00110001 01011110, hexadecimal: 3E 31 5E, time: 2893504, source: A, quality 38.44 % ***
Received 24 bits binary: 00111110 01110001 10001010, hexadecimal: 3E 71 8A, time: 3051600, source: B, quality 70.68 % *******
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 3564924, source: A, quality 43.69 % ****
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 3643992, source: B, quality 80.30 % ********
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 3691216, source: B, quality 77.29 % *******
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 3738436, source: B, quality 77.07 % *******
Received 24 bits binary: 00110110 10100100 01101110, hexadecimal: 36 A4 6E, time: 3833008, source: A, quality 31.41 % ***
Received 24 bits binary: 00110110 10100100 01101110, hexadecimal: 36 A4 6E, time: 4085572, source: B, quality 68.97 % ******
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4639528, source: A, quality 69.92 % ******
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4679040, source: A, quality 59.26 % *****
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4718568, source: A, quality 49.23 % ****
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4758088, source: B, quality 83.79 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4805312, source: B, quality 84.71 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 4852532, source: B, quality 81.96 % ********
Received 24 bits binary: 00111101 11110001 10001010, hexadecimal: 3D F1 8A, time: 5152440, source: B, quality 74.46 % *******

Received 24 bits binary: 00101000 01111110 11010111, hexadecimal: 28 7E D7, time: 5026152, source: A, quality 63.21 % ******

Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 6233856, source: A, quality 51.42 % *****
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 6352456, source: B, quality 76.34 % *******
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 6399672, source: B, quality 75.56 % *******
Received 24 bits binary: 00110000 11111101 10101110, hexadecimal: 30 FD AE, time: 6446888, source: B, quality 74.82 % *******
Received 24 bits binary: 00110110 10100100 10010001, hexadecimal: 36 A4 91, time: 6699560, source: B, quality 74.33 % *******
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 6888588, source: A, quality 36.44 % ***
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 6928120, source: A, quality 35.83 % ***
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 7007136, source: A, quality 39.46 % ***
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 7046676, source: B, quality 82.56 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 7093876, source: B, quality 83.61 % ********
Received 24 bits binary: 00110010 00000101 00011110, hexadecimal: 32 5 1E, time: 7141096, source: B, quality 88.79 % ********
