[Starting] Opening the serial port - COM6
[Info] Opened the serial port - COM6
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 5973428, source: A, quality 71.35 % *******
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 6012940, source: A, quality 64.02 % ******
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 6052448, source: A, quality 57.27 % *****
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 6091948, source: B, quality 85.57 % ********
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 6139136, source: B, quality 83.63 % ********
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 6186336, source: B, quality 82.94 % ********
Received 24 bits binary: 00111101 10010111 01111110, hexadecimal: 3D 97 7E, time: 6280816, source: A, quality 46.11 % ****
Received 24 bits binary: 00111101 10001100 10111011, hexadecimal: 3D 8C BB, time: 6486052, source: B, quality 81.57 % ********
Received 24 bits binary: 00111100 00011100 00101110, hexadecimal: 3C 1C 2E, time: 6746264, source: A, quality 54.26 % *****
Received 24 bits binary: 00111100 00011111 00001011, hexadecimal: 3C 1F B, time: 6785760, source: B, quality 84.60 % ********
Received 24 bits binary: 00111100 00011100 00101110, hexadecimal: 3C 1C 2E, time: 6880160, source: B, quality 84.44 % ********
Received 24 bits binary: 00111001 11010011 10001110, hexadecimal: 39 D3 8E, time: 7014168, source: A, quality 50.99 % *****
Received 24 bits binary: 00111001 11010011 01001110, hexadecimal: 39 D3 4E, time: 7132696, source: B, quality 88.17 % ********
Received 24 bits binary: 00111000 11001011 10111110, hexadecimal: 38 CB BE, time: 7526884, source: B, quality 78.77 % *******
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7729420, source: A, quality 54.99 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7768940, source: A, quality 56.80 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7808480, source: A, quality 51.61 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7848012, source: B, quality 85.28 % ********
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7895224, source: B, quality 84.58 % ********
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 7942460, source: B, quality 87.67 % ********

