[Starting] Opening the serial port - COM6
[Info] Opened the serial port - COM6
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1653832, source: A, quality 64.32 % ******
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1693324, source: A, quality 61.89 % ******
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1732828, source: A, quality 55.41 % *****
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1772312, source: B, quality 85.39 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1819508, source: B, quality 86.94 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 1866696, source: B, quality 84.07 % ********
Received 24 bits binary: 00111010 11101110 10011110, hexadecimal: 3A EE 9E, time: 2166476, source: B, quality 86.79 % ********
Received 24 bits binary: 00111111 01111110 00000111, hexadecimal: 3F 7E 7, time: 2426736, source: A, quality 41.47 % ****
Received 24 bits binary: 00111111 01111110 00000111, hexadecimal: 3F 7E 7, time: 2466236, source: B, quality 73.42 % *******
Received 24 bits binary: 00111111 01111110 00000111, hexadecimal: 3F 7E 7, time: 2513432, source: B, quality 80.79 % ********
Received 24 bits binary: 00111111 01111110 00000111, hexadecimal: 3F 7E 7, time: 2560636, source: B, quality 81.85 % ********
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 3073240, source: A, quality 59.05 % *****
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 3112740, source: A, quality 56.73 % *****
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 3152240, source: B, quality 84.07 % ********
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 3199432, source: B, quality 85.52 % ********
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 3246628, source: B, quality 83.40 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 3870756, source: A, quality 68.77 % ******
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 3910252, source: A, quality 52.14 % *****
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 3949740, source: A, quality 47.80 % ****
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 3989240, source: B, quality 84.25 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 4036432, source: B, quality 87.83 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 4083632, source: B, quality 84.07 % ********
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 4178180, source: A, quality 44.50 % ****
Received 24 bits binary: 00111010 10101110 10011110, hexadecimal: 3A AE 9E, time: 4383404, source: B, quality 78.63 % *******
Received 24 bits binary: 00111111 01111111 10000001, hexadecimal: 3F 7F 81, time: 4683172, source: B, quality 76.02 % *******
Received 24 bits binary: 00111111 01111110 00000111, hexadecimal: 3F 7E 7, time: 4777552, source: B, quality 79.24 % *******
Received 24 bits binary: 00110011 10110010 10110010, hexadecimal: 33 B2 B2, time: 5030108, source: B, quality 79.88 % *******
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 5377052, source: B, quality 80.43 % ********
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 5424232, source: B, quality 73.32 % *******
Received 24 bits binary: 00110100 01011000 11110111, hexadecimal: 34 58 F7, time: 5471428, source: B, quality 80.04 % ********
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5679016, source: A, quality 63.33 % ******
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5718532, source: A, quality 53.97 % *****
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5758056, source: A, quality 46.60 % ****
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5837072, source: B, quality 81.78 % ********
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5884284, source: B, quality 79.10 % *******
Received 24 bits binary: 00111010 11101001 11100111, hexadecimal: 3A E9 E7, time: 5931484, source: B, quality 82.87 % ********
Received 24 bits binary: 00110011 10110010 00110001, hexadecimal: 33 B2 31, time: 6496596, source: A, quality 71.06 % *******
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 6575620, source: A, quality 50.11 % *****
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 6615144, source: A, quality 45.21 % ****
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 6654652, source: B, quality 84.13 % ********
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 6701840, source: B, quality 86.18 % ********
Received 24 bits binary: 00110011 10110010 00110111, hexadecimal: 33 B2 37, time: 6749036, source: B, quality 86.13 % ********
