[Starting] Opening the serial port - COM6
[Info] Opened the serial port - COM6
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 1827052, source: A, quality 59.08 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 1866576, source: A, quality 46.34 % ****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 1945616, source: B, quality 85.63 % ********
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 1992836, source: B, quality 80.06 % ********
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 2040044, source: B, quality 85.48 % ********
Received 24 bits binary: 00110101 00101010 11010111, hexadecimal: 35 2A D7, time: 2134636, source: A, quality 48.15 % ****
Received 24 bits binary: 00110101 00101010 11010111, hexadecimal: 35 2A D7, time: 2174160, source: A, quality 43.36 % ****
Received 24 bits binary: 00110101 00101010 11010111, hexadecimal: 35 2A D7, time: 2213692, source: A, quality 43.16 % ****
Received 24 bits binary: 00110101 00101001 01010110, hexadecimal: 35 29 56, time: 2339948, source: B, quality 82.08 % ********
Received 24 bits binary: 00110111 01001111 01000111, hexadecimal: 37 4F 47, time: 2481756, source: A, quality 42.94 % ****
Received 24 bits binary: 00110111 01100010 11000001, hexadecimal: 37 62 C1, time: 2600336, source: A, quality 43.24 % ****
Received 24 bits binary: 00110001 01100001 00010110, hexadecimal: 31 61 16, time: 2986976, source: B, quality 85.57 % ********

Received 24 bits binary: 00001100 01111101 11000011, hexadecimal: C 7D C3, time: 2868416, source: A, quality 58.15 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 3752776, source: A, quality 69.24 % ******
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 3792292, source: A, quality 59.15 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 3831816, source: A, quality 56.21 % *****
Received 24 bits binary: 00111011 10000110 10010111, hexadecimal: 3B 86 97, time: 3871328, source: B, quality 86.75 % ********
